targetIdx,trueRange_m,trueVelocity_mps,alpha,noRisPeakDb,randomPeakDb,optimizedPeakDb,peakImprovementVsNoRisDb,peakImprovementVsRandomDb,noRisPeakRange_m,randomPeakRange_m,optimizedPeakRange_m,noRisPeakVelocity_mps,randomPeakVelocity_mps,optimizedPeakVelocity_mps,optimizedRangeError_m,optimizedVelocityError_mps
1,25,-1,1,-83.629553720608,-29.0674904486489,-18.2765800805561,65.3529736400518,10.7909103680928,24.9,24.9,24.9,-0.913149350649351,-1.06534090909091,-1.06534090909091,-0.100000000000001,-0.0653409090909092
2,20,1,0.86,-77.5992809820693,-30.3684850795434,-19.584000189263,58.0152807928063,10.7844848902804,19.5,20.1,20.1,0.760957792207792,1.06534090909091,1.06534090909091,0.100000000000001,0.0653409090909092
3,10,-1,0.74,-78.3316410210784,-31.6786374616878,-20.8907266262121,57.4409143948663,10.7879108354757,9.9,9.9,9.9,-0.608766233766234,-1.06534090909091,-1.06534090909091,-0.0999999999999996,-0.0653409090909092
4,5,1,0.62,-78.8745957554085,-33.203173671807,-22.4239853821261,56.4506103732824,10.7791882896809,5.1,5.1,5.1,1.21753246753247,1.06534090909091,1.06534090909091,0.0999999999999996,0.0653409090909092
